"","Mean","SD","Naive SE","Time-series SE"
"intI[72]",-0.0615089074904144,0.21135919904471,0.0021135919904471,0.00267827629672204
"intI[73]",0.037256839807097,0.173831865389243,0.00173831865389243,0.00235201728316637
"intI[74]",0.0901590517550026,0.164577404172335,0.00164577404172335,0.00223297602349606
"intI[75]",0.000752503674836501,0.283053680522206,0.00283053680522206,0.00354974521835742
"intI[76]",0.194436030179187,0.16289578853392,0.0016289578853392,0.00224622193745525
"intI[77]",0.0275703288328882,0.292114126748497,0.00292114126748497,0.00365039620859849
"intI[78]",0.278817249295035,0.146459235247791,0.00146459235247791,0.00237744544288659
"intI[79]",-0.0832651730572251,0.281706437275395,0.00281706437275395,0.00373300333836824
"intI[80]",0.0249678462390778,0.285008419717155,0.00285008419717155,0.00366927730090477
"intI[81]",-0.047917901344143,0.267724305668756,0.00267724305668756,0.00342697077612278
"intI[82]",-0.19668163358146,0.21190777271496,0.0021190777271496,0.00281393982387328
"intI[83]",0.0817080033234787,0.164115659987838,0.00164115659987838,0.00214579619489876
"intI[84]",-0.0365342397478987,0.283436193542164,0.00283436193542164,0.00367327111309064
"intI[85]",0.422282177251969,0.151115444857625,0.00151115444857625,0.0031354920330699
"intI[86]",-0.214608411774452,0.236628296605963,0.00236628296605963,0.00303091272206236
"intI[87]",-0.02735685945567,0.284323549506169,0.00284323549506169,0.00357478000604289
"intI[88]",0.405981477738025,0.150283230697055,0.00150283230697055,0.00282524728786078
"intI[89]",-0.0820925274899848,0.220413418632633,0.00220413418632633,0.00295282637831393
"intI[90]",-0.190265238471538,0.200413369025866,0.00200413369025866,0.00261573213774973
"intI[91]",0.1221806907398,0.244239485927454,0.00244239485927454,0.00313493680101659
"intI[92]",-0.221069954837659,0.212695290010692,0.00212695290010692,0.00283309800590156
"intI[93]",0.186133501308401,0.196558845090047,0.00196558845090047,0.00277688552522707
"intI[94]",-0.130377755863219,0.283795100335786,0.00283795100335786,0.00410588261808667
"intI[95]",-0.0507738183830733,0.285106402685446,0.00285106402685446,0.00348281752369271
"intI[96]",0.121612133937518,0.18072703762972,0.0018072703762972,0.00237743158509985
"intI[97]",0.297280043823176,0.186348376343308,0.00186348376343308,0.00290005646300491
"intI[98]",-0.000463616906522708,0.231617013732309,0.00231617013732309,0.00284393875582011
"intI[99]",-0.109488739395832,0.255623682493658,0.00255623682493658,0.00337219470603952
"intI[100]",0.180570037440163,0.235107168248453,0.00235107168248453,0.00308414616257412
"intI[101]",0.496170302240102,0.154884649029626,0.00154884649029626,0.00333011079590688
"intI[102]",0.0573684028393333,0.223303043999321,0.00223303043999321,0.00293926398665795
"intI[103]",-0.1809646589749,0.22389332144334,0.0022389332144334,0.00311413022064136
"intI[104]",0.190653404544169,0.205113532621549,0.00205113532621549,0.00270957379283198
"intI[105]",-0.0861048565411449,0.200740295804186,0.00200740295804186,0.00252016713322882
"intI[106]",0.0751246681634021,0.272844214566465,0.00272844214566465,0.00352178765574805
"intI[107]",0.415837420491093,0.169292481207409,0.00169292481207409,0.00275858892881651
"intI[108]",-0.0594846441740726,0.249693055364666,0.00249693055364666,0.00313983175027138
"intI[109]",-0.155756119044451,0.238208263788932,0.00238208263788932,0.00308289039997987
"intI[110]",0.0316562842050249,0.181371792579336,0.00181371792579336,0.00231588602169801
"intI[111]",0.378744297872963,0.172503979187201,0.00172503979187201,0.00305388942838398
"intI[112]",-0.515657128631147,0.244330804353415,0.00244330804353415,0.00430662640049237
"intI[113]",0.0894722727529196,0.236131845610438,0.00236131845610438,0.00298021786614748
"intI[114]",-0.145577274365991,0.213574127239598,0.00213574127239599,0.00273146912183954
"intI[115]",0.310864642457787,0.165995997748127,0.00165995997748127,0.00289028370093872
"intI[116]",-0.12733485376458,0.285876847897986,0.00285876847897986,0.00364528067997162
"intI[117]",0.0303591406717283,0.207836195087551,0.00207836195087551,0.00277696501917094
"intI[118]",-0.0295737328279305,0.286602768859076,0.00286602768859076,0.00358907584503783
"intI[119]",0.0123947425075863,0.194904589166824,0.00194904589166824,0.00258980583583041
"intI[120]",0.0502972032972479,0.212711650504374,0.00212711650504374,0.00257960890893895
"intI[121]",0.138993466513561,0.193099413754803,0.00193099413754803,0.00253213866066784
"intI[122]",-0.116246301453524,0.273199261058158,0.00273199261058158,0.00345365810437488
"intI[123]",-0.0504611027726778,0.286499207255472,0.00286499207255472,0.00358412187140085
"intI[124]",0.102024866970835,0.235957704629803,0.00235957704629803,0.00291598236995067
"intI[125]",0.208487249548729,0.203554510406196,0.00203554510406196,0.00259591521297823
"intI[126]",-0.0104234819632871,0.279862039612313,0.00279862039612313,0.0034098111088613
"intI[127]",-0.121539100087786,0.257742213346589,0.00257742213346589,0.00327447298119097
"intI[128]",-0.125958854671291,0.208965279128399,0.00208965279128399,0.00257789658210237
"intI[129]",-0.0713224335194206,0.223366474908015,0.00223366474908015,0.00299373346748616
"intI[130]",0.0400931607355763,0.296810276455949,0.00296810276455949,0.00380511239388525
"intI[131]",0.0761047078621789,0.144738867395375,0.00144738867395375,0.00201536750552868
"intI[132]",-0.0690303164681675,0.280192252326664,0.00280192252326664,0.00357257302225086
"intI[133]",0.0178692430774014,0.292928508505693,0.00292928508505693,0.00365108920325076
"intI[134]",0.0409837669651096,0.290723916481041,0.00290723916481041,0.00363109491428265
"intI[135]",-0.0793127181694421,0.285546749335738,0.00285546749335738,0.00364363158341982
"intI[136]",-0.0414462732918042,0.286315196039947,0.00286315196039947,0.00372454143948779
"intI[137]",0.00386983011372924,0.291907464639173,0.00291907464639173,0.00367419580201273
"intI[138]",0.0554563862645234,0.298954069236285,0.00298954069236285,0.00378947702290383
"intI[139]",0.116410456032373,0.311643833722082,0.00311643833722082,0.00407374366508373
"intI[140]",-0.116548507153975,0.283338441612929,0.00283338441612929,0.00369392517767849
"intI[141]",0.0880629918308078,0.300245224953495,0.00300245224953495,0.00367279672592842
"intI[142]",-0.00248930030047715,0.288642955633521,0.00288642955633521,0.00367209459666575
"intI[143]",0.0581067418624441,0.289586816413712,0.00289586816413712,0.003716635051268
"intI[144]",-0.1324398858693,0.279503551987114,0.00279503551987114,0.00358778543170471
"intI[145]",-0.0117013718106057,0.287393025320579,0.0028739302532058,0.00368266275979046
"intI[146]",-0.149322553343969,0.276832360396122,0.00276832360396122,0.00360427224947003
"intI[147]",-0.0760841228055546,0.284485558651942,0.00284485558651942,0.00355401555236071
"intI[148]",0.0580189896953575,0.291377689069832,0.00291377689069832,0.00361963309148536
"intI[149]",0.113210377050793,0.310269491004124,0.00310269491004124,0.00404820052722296
"intI[150]",-0.0133092770450976,0.290063348917426,0.00290063348917425,0.00372418237604606
"intI[151]",0.0559101981641922,0.293151977668441,0.00293151977668441,0.00359952364478213
"intI[152]",-0.0810392021017543,0.284294478280723,0.00284294478280723,0.00365644310432073
"intI[153]",0.00870816866075442,0.286436313501369,0.00286436313501369,0.00359508674601439
"intI[154]",0.0810937755185206,0.304111717850104,0.00304111717850104,0.00388496286989114
"intI[155]",0.0598113179774619,0.293807624134504,0.00293807624134504,0.00365179897618495
"intI[156]",-0.0873344452933951,0.284964607495027,0.00284964607495027,0.00362649782808831
"intI[157]",-0.0676191982273289,0.286108474195859,0.00286108474195859,0.00357148109141821
"intI[158]",-0.0794223399594229,0.291374862660067,0.00291374862660067,0.00383989855626642
"intI[159]",0.0149644563272559,0.2923876129443,0.00292387612944301,0.00373059498239685
"intI[160]",0.0572997439747487,0.296985804537224,0.00296985804537224,0.00375530829447343
"intI[161]",-0.0728947321151865,0.285339422777103,0.00285339422777103,0.00350141101672849
"intI[162]",-0.0179388078992161,0.290301514480482,0.00290301514480482,0.00378572415320798
"intI[163]",0.0354329958417659,0.294072240818758,0.00294072240818758,0.00388872411986845
"intI[164]",-0.0785765225434269,0.286271124784051,0.00286271124784051,0.00380194237233964
"intI[165]",-0.0152212754840493,0.292991353124255,0.00292991353124255,0.00378550626062927
"intI[166]",-0.0782107703090598,0.284440985181996,0.00284440985181996,0.00352656267815555
